"fecha","linea","n"
2021-05-27,"FFCC SAR",88168
2021-05-28,"BSAS_LINEA_203",58363
2021-05-28,"BSAS_LINEA_501G",83451
2021-05-28,"FFCC ROCA",186245
2021-05-28,"FFCC SAR",95229
2021-05-29,"BSAS_LINEA_203",38396
2021-05-29,"BSAS_LINEA_501G",58998
2021-05-29,"FFCC ROCA",101744
2021-05-29,"FFCC SAR",32371
2021-05-30,"BSAS_LINEA_203",23103
2021-05-30,"BSAS_LINEA_501G",31722
2021-05-30,"FFCC ROCA",40808
2021-05-30,"FFCC SAR",10054
2021-05-31,"BSAS_LINEA_203",66581
2021-05-31,"BSAS_LINEA_501G",97503
2021-05-31,"FFCC ROCA",190671
2021-05-31,"FFCC SAR",119729
2021-06-01,"BSAS_LINEA_203",62523
2021-06-01,"BSAS_LINEA_501G",97502
2021-06-01,"FFCC ROCA",222366
2021-06-01,"FFCC SAR",121608
2021-06-02,"BSAS_LINEA_203",65465
2021-06-02,"BSAS_LINEA_501G",103751
2021-06-02,"FFCC ROCA",235050
2021-06-02,"FFCC SAR",127162
2021-06-03,"BSAS_LINEA_203",67730
2021-06-03,"BSAS_LINEA_501G",104425
2021-06-03,"FFCC ROCA",235615
2021-06-03,"FFCC SAR",124558
2021-06-04,"BSAS_LINEA_203",69877
2021-06-04,"BSAS_LINEA_501G",115874
2021-06-04,"FFCC ROCA",244448
2021-06-04,"FFCC SAR",125901
2021-06-05,"BSAS_LINEA_203",43230
2021-06-05,"BSAS_LINEA_501G",68493
2021-06-05,"FFCC ROCA",116700
2021-06-05,"FFCC SAR",33581
2021-06-06,"BSAS_LINEA_203",28208
2021-06-06,"BSAS_LINEA_501G",40148
2021-06-06,"FFCC ROCA",47367
2021-06-06,"FFCC SAR",10993
2021-06-07,"BSAS_LINEA_203",69525
2021-06-07,"BSAS_LINEA_501G",110087
2021-06-07,"FFCC ROCA",241549
2021-06-07,"FFCC SAR",128554
2021-06-08,"BSAS_LINEA_203",68736
2021-06-08,"BSAS_LINEA_501G",111354
2021-06-08,"FFCC ROCA",243209
2021-06-08,"FFCC SAR",130640
2021-06-09,"BSAS_LINEA_203",69136
2021-06-09,"BSAS_LINEA_501G",104356
2021-06-09,"FFCC ROCA",241496
2021-06-09,"FFCC SAR",127555
2021-06-10,"BSAS_LINEA_203",70539
2021-06-10,"BSAS_LINEA_501G",108501
2021-06-10,"FFCC ROCA",247545
2021-06-10,"FFCC SAR",120682
2021-06-11,"BSAS_LINEA_203",75427
2021-06-11,"BSAS_LINEA_501G",120880
2021-06-11,"FFCC ROCA",267868
2021-06-11,"FFCC SAR",134848
